Color,Target,Poweramp_RMS_Error_dB,PEQ_RMS_Error_dB,Correction_Min_dB,Correction_Max_dB
Green,Cinematic,0.13767198342097775,0.3892372529499018,-2.3810442795605855,3.721532828060652
Green,Dreamy,0.13146883549330057,0.2831231806266935,-1.5432532321866725,2.734358363056593
Green,EDM + Rap,0.11532943426348669,0.2744849021331683,-2.3464541776745174,3.1177413288678317
Green,Natural,0.11805244266404169,0.2637458236191638,-2.2987541137000482,3.7161938634700498
Green,Premium,0.14701778636618812,0.27059666475210853,-2.1697849954767734,3.281449350168495
Green,Subliminal,0.26629971371414385,0.3030503228572113,-2.981948852752737,1.991642503919283
Red,Cinematic,0.31710256283102056,0.6135354173997648,-3.067637476646192,2.9839772590959255
Red,Dreamy,0.2964639488437508,0.48522624181688373,-2.422438586217437,2.2687617561395217
Red,EDM + Rap,0.27642430565255466,0.5158479229315333,-2.9038108876827624,2.730251508181396
Red,Natural,0.29545325958409696,0.5040676262127649,-2.87553260789221,3.0587657026321913
Red,Premium,0.318539962060683,0.4776354014038199,-2.7779552445462175,2.6052613760082557
Red,Subliminal,0.382149572029765,0.5126762290946875,-3.687790178998718,1.9825304120509182
Blue,Cinematic,0.31460420862754573,0.47686073300124554,-3.1426698499418366,4.823975383838088
Blue,Dreamy,0.31808487037144634,0.4434495706664429,-2.5009378475922777,4.045741700780312
Blue,EDM + Rap,0.2880804906319426,0.4163179795262323,-2.975465321222631,4.305070786000715
Blue,Natural,0.3304600760500231,0.4373445198993279,-2.9471870414320787,4.995842821409792
Blue,Premium,0.32049567556542996,0.4506384023309796,-2.849609678086086,4.5054778717843185
Blue,Subliminal,0.38770631547708073,0.5175102463665262,-3.760665713265963,2.218688235407713
Purple,Cinematic,0.08175834287927419,0.40481717683665924,-2.2859391705198187,4.0002299219419255
Purple,Dreamy,0.07837592460337356,0.3223322041884787,-1.4434380601029115,2.9380034002873345
Purple,EDM + Rap,0.08020504127443662,0.3649719519975358,-2.255001411899716,3.3586202391242295
Purple,Natural,0.07617838082732266,0.3422139196137881,-2.204412464494397,3.9156836830040067
Purple,Premium,0.08549428718037104,0.3454800705597328,-2.0753031489319946,3.49740300151909
Purple,Subliminal,0.21567753474567958,0.4006761663314231,-2.8860491862113085,1.983473849587489
